date,channel,title,description,product,target,image_prompt
2025-11-03,Instagram,Ophtalmocomplex,"OPHTALMOCOMPLEX: поддержка зрения и защита сетчатки
Лютеин/зеаксантин — защита макулы; витамины A/E/C — восстановление; Омега-3 и витамины группы B — поддержка зрительного нерва.
Как принимать: детям 7+ — 1 капсула в день, взрослым — 2 капсулы в день
Немецкое качество. Перед применением проконсультируйтесь со специалистом. Сделайте шаг к балансу с Biotact. #Biotact #здоровье",OPHTALMOCOMPLEX,"Взрослые, Для детей","An elegant, modern illustration representing IMMUNOCOMPLEX: Дети 7+ и взрослые Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
2025-11-06,Blog,Immunocomplex,"IMMUNOCOMPLEX: подробный разбор
ежедневная поддержка иммунитета для всей семьи

Преимущества:
- Ежедневная поддержка
- Антиоксиданты
- Удобные капсулы

Кому подходит: дети и взрослые в сезон простуд/повышенных нагрузок
Как принимать: обычно 1–2 капсулы в день (по рекомендации специалиста)
Перед применением проконсультируйтесь со специалистом. Сделайте шаг к балансу с Biotact.",IMMUNOCOMPLEX,"Взрослые, Для детей","An elegant, modern illustration representing IMMUNOCOMPLEX: Дети 7+ и взрослые Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
2025-11-09,Podcast,Dermacomplex,"Скрипт выпуска: DERMACOMPLEX
1) Зачем: здоровая кожа, волосы и ногти изнутри
2) Что внутри: Антиоксиданты уменьшают воспаления, биотин и цинк укрепляют волосы и ногти, пробиотики поддерживают чистую кожу.
3) Для кого: дети 4+, взрослые, при проблемах кожи/волос/ногтей
4) Советы по приёму: детям 4–8 лет — 1/2 капсулы (растворить), 8+ — 1 капсула, взрослым — 1–2 капсулы в день
Завершение: Перед применением проконсультируйтесь со специалистом. Сделайте шаг к балансу с Biotact.",DERMACOMPLEX,"Взрослые, Для детей","An elegant, modern illustration representing IMMUNOCOMPLEX: Дети 7+ и взрослые Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
2025-11-12,Telegram,Ophtalmocomplex,"OPHTALMOCOMPLEX — коротко:
Лютеин/зеаксантин — защита макулы; витамины A/E/C — восстановление; Омега-3 и витамины группы B — поддержка зрительного нерва.
Кому полезно: много экранного времени, сухость/утомление глаз, профилактика возрастных изменений
Подробнее скоро в канале. Перед применением проконсультируйтесь со специалистом. Сделайте шаг к балансу с Biotact.",OPHTALMOCOMPLEX,"Взрослые, Для детей","An elegant, modern illustration representing IMMUNOCOMPLEX: Дети 7+ и взрослые Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
2025-11-15,YouTube,Immunocomplex,"[LLM placeholder] Real model responses would appear here.
This placeholder acknowledges that the prototype environment does not provide a live LLM.

Prompt excerpt:
Вы маркетолог компании Biotact. Создайте развёрнутый текст для канала YouTube о продукте IMMUNOCOMPLEX на 15 November 2025. Включите факты о бренде, информацию из списка преимуществ и призыв к действию.",IMMUNOCOMPLEX,"Взрослые, Для детей","An elegant, modern illustration representing IMMUNOCOMPLEX: Дети 7+ и взрослые Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
2025-11-18,YouTube,Dermacomplex,"[LLM placeholder] Real model responses would appear here.
This placeholder acknowledges that the prototype environment does not provide a live LLM.

Prompt excerpt:
Вы маркетолог компании Biotact. Создайте развёрнутый текст для канала YouTube о продукте IMMUNOCOMPLEX на 18 November 2025. Включите факты о бренде, информацию из списка преимуществ и призыв к действию.",DERMACOMPLEX,"Взрослые, Для детей","An elegant, modern illustration representing IMMUNOCOMPLEX: Дети 7+ и взрослые Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
2025-11-21,Podcast,Ophtalmocomplex,"Скрипт выпуска: OPHTALMOCOMPLEX
1) Зачем: поддержка зрения и защита сетчатки
2) Что внутри: Лютеин/зеаксантин — защита макулы; витамины A/E/C — восстановление; Омега-3 и витамины группы B — поддержка зрительного нерва.
3) Для кого: много экранного времени, сухость/утомление глаз, профилактика возрастных изменений
4) Советы по приёму: детям 7+ — 1 капсула в день, взрослым — 2 капсулы в день
Завершение: Перед применением проконсультируйтесь со специалистом. Сделайте шаг к балансу с Biotact.",OPHTALMOCOMPLEX,"Взрослые, Для детей","An elegant, modern illustration representing IMMUNOCOMPLEX: Дети 7+ и взрослые Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
2025-11-24,Instagram,Immunocomplex,"IMMUNOCOMPLEX: ежедневная поддержка иммунитета для всей семьи
Сбалансированные витамины и минералы с антиоксидантами помогают защите в сезон нагрузок.
Как принимать: обычно 1–2 капсулы в день (по рекомендации специалиста)
Немецкое качество. Перед применением проконсультируйтесь со специалистом. Сделайте шаг к балансу с Biotact. #Biotact #здоровье",IMMUNOCOMPLEX,"Взрослые, Для детей","An elegant, modern illustration representing IMMUNOCOMPLEX: Дети 7+ и взрослые Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
2025-11-27,Blog,Dermacomplex,"DERMACOMPLEX: подробный разбор
здоровая кожа, волосы и ногти изнутри

Преимущества:
- Антиоксиданты против воспалений
- Биотин и цинк для волос и ногтей
- Пробиотики — поддержка кожи изнутри

Кому подходит: дети 4+, взрослые, при проблемах кожи/волос/ногтей
Как принимать: детям 4–8 лет — 1/2 капсулы (растворить), 8+ — 1 капсула, взрослым — 1–2 капсулы в день
Перед применением проконсультируйтесь со специалистом. Сделайте шаг к балансу с Biotact.",DERMACOMPLEX,"Взрослые, Для детей","An elegant, modern illustration representing IMMUNOCOMPLEX: Дети 7+ и взрослые Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
2025-11-30,Podcast,Ophtalmocomplex,"Скрипт выпуска: OPHTALMOCOMPLEX
1) Зачем: поддержка зрения и защита сетчатки
2) Что внутри: Лютеин/зеаксантин — защита макулы; витамины A/E/C — восстановление; Омега-3 и витамины группы B — поддержка зрительного нерва.
3) Для кого: много экранного времени, сухость/утомление глаз, профилактика возрастных изменений
4) Советы по приёму: детям 7+ — 1 капсула в день, взрослым — 2 капсулы в день
Завершение: Перед применением проконсультируйтесь со специалистом. Сделайте шаг к балансу с Biotact.",OPHTALMOCOMPLEX,"Взрослые, Для детей","An elegant, modern illustration representing IMMUNOCOMPLEX: Дети 7+ и взрослые Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
2025-12-03,Telegram,Immunocomplex,"IMMUNOCOMPLEX — коротко:
Сбалансированные витамины и минералы с антиоксидантами помогают защите в сезон нагрузок.
Кому полезно: дети и взрослые в сезон простуд/повышенных нагрузок
Подробнее скоро в канале. Перед применением проконсультируйтесь со специалистом. Сделайте шаг к балансу с Biotact.",IMMUNOCOMPLEX,"Взрослые, Для детей","An elegant, modern illustration representing IMMUNOCOMPLEX: Дети 7+ и взрослые Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
2025-12-06,YouTube,Dermacomplex,"[LLM placeholder] Real model responses would appear here.
This placeholder acknowledges that the prototype environment does not provide a live LLM.

Prompt excerpt:
Вы маркетолог компании Biotact. Создайте развёрнутый текст для канала YouTube о продукте IMMUNOCOMPLEX на 06 December 2025. Включите факты о бренде, информацию из списка преимуществ и призыв к действию.",DERMACOMPLEX,"Взрослые, Для детей","An elegant, modern illustration representing IMMUNOCOMPLEX: Дети 7+ и взрослые Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
2025-12-09,YouTube,Ophtalmocomplex,"[LLM placeholder] Real model responses would appear here.
This placeholder acknowledges that the prototype environment does not provide a live LLM.

Prompt excerpt:
Вы маркетолог компании Biotact. Создайте развёрнутый текст для канала YouTube о продукте IMMUNOCOMPLEX на 09 December 2025. Включите факты о бренде, информацию из списка преимуществ и призыв к действию.",OPHTALMOCOMPLEX,"Взрослые, Для детей","An elegant, modern illustration representing IMMUNOCOMPLEX: Дети 7+ и взрослые Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
2025-12-12,Podcast,Immunocomplex,"Скрипт выпуска: IMMUNOCOMPLEX
1) Зачем: ежедневная поддержка иммунитета для всей семьи
2) Что внутри: Сбалансированные витамины и минералы с антиоксидантами помогают защите в сезон нагрузок.
3) Для кого: дети и взрослые в сезон простуд/повышенных нагрузок
4) Советы по приёму: обычно 1–2 капсулы в день (по рекомендации специалиста)
Завершение: Перед применением проконсультируйтесь со специалистом. Сделайте шаг к балансу с Biotact.",IMMUNOCOMPLEX,"Взрослые, Для детей","An elegant, modern illustration representing IMMUNOCOMPLEX: Дети 7+ и взрослые Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
2025-12-15,Instagram,Dermacomplex,"DERMACOMPLEX: здоровая кожа, волосы и ногти изнутри
Антиоксиданты уменьшают воспаления, биотин и цинк укрепляют волосы и ногти, пробиотики поддерживают чистую кожу.
Как принимать: детям 4–8 лет — 1/2 капсулы (растворить), 8+ — 1 капсула, взрослым — 1–2 капсулы в день
Немецкое качество. Перед применением проконсультируйтесь со специалистом. Сделайте шаг к балансу с Biotact. #Biotact #здоровье",DERMACOMPLEX,"Взрослые, Для детей","An elegant, modern illustration representing IMMUNOCOMPLEX: Дети 7+ и взрослые Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
2025-12-18,Blog,Ophtalmocomplex,"OPHTALMOCOMPLEX: подробный разбор
поддержка зрения и защита сетчатки

Преимущества:
- Лютеин/зеаксантин для макулы
- Витамины A/E/C — восстановление
- Омега-3+B — поддержка передачи сигнала

Кому подходит: много экранного времени, сухость/утомление глаз, профилактика возрастных изменений
Как принимать: детям 7+ — 1 капсула в день, взрослым — 2 капсулы в день
Перед применением проконсультируйтесь со специалистом. Сделайте шаг к балансу с Biotact.",OPHTALMOCOMPLEX,"Взрослые, Для детей","An elegant, modern illustration representing IMMUNOCOMPLEX: Дети 7+ и взрослые Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
2025-12-21,Podcast,Immunocomplex,"Скрипт выпуска: IMMUNOCOMPLEX
1) Зачем: ежедневная поддержка иммунитета для всей семьи
2) Что внутри: Сбалансированные витамины и минералы с антиоксидантами помогают защите в сезон нагрузок.
3) Для кого: дети и взрослые в сезон простуд/повышенных нагрузок
4) Советы по приёму: обычно 1–2 капсулы в день (по рекомендации специалиста)
Завершение: Перед применением проконсультируйтесь со специалистом. Сделайте шаг к балансу с Biotact.",IMMUNOCOMPLEX,"Взрослые, Для детей","An elegant, modern illustration representing IMMUNOCOMPLEX: Дети 7+ и взрослые Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
2025-12-24,Telegram,Dermacomplex,"DERMACOMPLEX — коротко:
Антиоксиданты уменьшают воспаления, биотин и цинк укрепляют волосы и ногти, пробиотики поддерживают чистую кожу.
Кому полезно: дети 4+, взрослые, при проблемах кожи/волос/ногтей
Подробнее скоро в канале. Перед применением проконсультируйтесь со специалистом. Сделайте шаг к балансу с Biotact.",DERMACOMPLEX,"Взрослые, Для детей","An elegant, modern illustration representing IMMUNOCOMPLEX: Дети 7+ и взрослые Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
2025-12-27,YouTube,Ophtalmocomplex,"[LLM placeholder] Real model responses would appear here.
This placeholder acknowledges that the prototype environment does not provide a live LLM.

Prompt excerpt:
Вы маркетолог компании Biotact. Создайте развёрнутый текст для канала YouTube о продукте IMMUNOCOMPLEX на 27 December 2025. Включите факты о бренде, информацию из списка преимуществ и призыв к действию.",OPHTALMOCOMPLEX,"Взрослые, Для детей","An elegant, modern illustration representing IMMUNOCOMPLEX: Дети 7+ и взрослые Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
2025-12-30,YouTube,Immunocomplex,"[LLM placeholder] Real model responses would appear here.
This placeholder acknowledges that the prototype environment does not provide a live LLM.

Prompt excerpt:
Вы маркетолог компании Biotact. Создайте развёрнутый текст для канала YouTube о продукте IMMUNOCOMPLEX на 30 December 2025. Включите факты о бренде, информацию из списка преимуществ и призыв к действию.",IMMUNOCOMPLEX,"Взрослые, Для детей","An elegant, modern illustration representing IMMUNOCOMPLEX: Дети 7+ и взрослые Все необходимое в одной формуле. Use soft colours and incorporate elements of nature and science."
